id,attempts,channelId,eventId,expectedResult,file,first,kind,label,last,layer,name,observedAttempts,observedRouteFailureRows,owner,pr,seat,seats,sha,source_system,status,timestamp,toolReportedCommit,traceId,url,workorderIndexNote
incident:source-event,,1466192485440164011,1538222293149294694,,,,discord-event,incident:source-event,,incident,,,,,,,,,,,,,,,
incident:no-visible-payload,,,,,,,symptom-family,incident:no-visible-payload,,incident,,,,,,,"cael,ronan,emeric",,,,,,,,
incident:rune-silent-loss,,,,,,,symptom-family,incident:rune-silent-loss,,incident,,,,,,rune,,,,,,,,,
incident:sqlite-pressure,,,,,,,symptom-family,incident:sqlite-pressure,,incident,,,,,,,"cael,ronan,emeric",,,,,,,,
incident:silas-loop,,,,,,,symptom-family,incident:silas-loop,,incident,,42,,,,silas,,,,,,,,,
incident:elliott-route,,,,,,,symptom-family,incident:elliott-route,,incident,,,72,,,elliott,,,,,,,,,
receipt:cael-trace,,,,,,,trace-receipt,receipt:cael-trace,,incident,,,,,,,,,,,,,818314b20865025cc092d3042672f63b,,
receipt:ronan-trace,,,,,,,trace-receipt,receipt:ronan-trace,,incident,,,,,,,,,,,,,39bb0342c1c8abf08d305343b75028a6,,
receipt:emeric-trace,,,,,,,trace-receipt,receipt:emeric-trace,,incident,,,,,,,,,,,,,9af101e0eeb3b3058bc3810e5b8851ad,,
receipt:silas-cadence,42,,,,,2026-08-15T09:26:17.394-07:00,journal-receipt,receipt:silas-cadence,2026-08-15T11:12:17-07:00,incident,,,,,,,,,,,,,,,
code:capture-finalization-context,,,,,extensions/codex/src/app-server/settled-turn-context.ts,,function,captureCodexSettledTurnFinalizationContext,,code,captureCodexSettledTurnFinalizationContext,,,,,,,,,,,,,,
code:build-finalization-context,,,,,extensions/codex/src/app-server/settled-turn-context.ts,,function,buildCodexSettledTurnFinalizationContext,,code,buildCodexSettledTurnFinalizationContext,,,,,,,,,,,,,,
code:finalize-codex-attempt,,,,,extensions/codex/src/app-server/run-attempt-finalize.ts,,function,finalizeCodexAttempt,,code,finalizeCodexAttempt,,,,,,,,,,,,,,
code:prepare-terminal-finalization,,,,,src/agents/embedded-agent-runner/run/settled-turn-finalization.ts,,function,prepareTerminalWithSettledTurnFinalization,,code,prepareTerminalWithSettledTurnFinalization,,,,,,,,,,,,,,
code:zero-payload-warning,,,,,src/channels/turn/execution.ts,,function,maybeWarnZeroCountVisibleDispatch,,code,maybeWarnZeroCountVisibleDispatch,,,,,,,,,,,,,,
code:load-transcript-events,,,,,src/config/sessions/session-accessor.sqlite-read.ts,,function,loadTranscriptEventsSync,,code,loadTranscriptEventsSync,,,,,,,,,,,,,,
code:ingress-complete,,,,,src/channels/message/ingress-queue.ts,,function,complete,,code,complete,,,,,,,,,,,,,,
code:monitor-default-completion,,,,,src/channels/message/ingress-monitor.ts,,branch,policy gate or deliberate no-dispatch completion,,code,policy gate or deliberate no-dispatch completion,,,,,,,,,,,,,,
code:admit-reply-turn,,,,,src/auto-reply/reply/reply-turn-admission.ts,,function,admitReplyTurn,,code,admitReplyTurn,,,,,,,,,,,,,,
code:complete-followup-lifecycle,,,,,src/auto-reply/reply/queue/types.ts,,function,completeFollowupRunLifecycle,,code,completeFollowupRunLifecycle,,,,,,,,,,,,,,
code:abandon-ingress,,,,,src/channels/message/ingress-drain.ts,,branch,ChannelIngressDispatchLifecycle.onAbandoned,,code,ChannelIngressDispatchLifecycle.onAbandoned,,,,,,,,,,,,,,
code:retry-disposition,,,,,src/channels/message/ingress-retry-policy.ts,,function,resolveIngressFailureDisposition,,code,resolveIngressFailureDisposition,,,,,,,,,,,,,,
code:materialize-route,,,,,src/agents/runtime-plan/materialize-model.ts,,function,materializePreparedRuntimeModel,,code,materializePreparedRuntimeModel,,,,,,,,,,,,,,
defect:finalization-context-reason,,,,,,,missing-discriminator,defect:finalization-context-reason,,defect,,,,Codex settled-turn transcript attestation,,,,,,localized,,,,,
defect:rune-completion-reason,,,,,,,missing-discriminator,defect:rune-completion-reason,,defect,,,,channel ingress completion metadata,,,,,,localized,,,,,
defect:sqlite-hot-read,,,,,,,performance-amplifier,defect:sqlite-hot-read,,defect,,,,agent session SQLite transcript read,,,,,,source-and-trace-evidenced,,,,,
defect:silas-abandonment-budget,,,,,,,retry-policy-bypass,defect:silas-abandonment-budget,,defect,,,,durable ingress abandonment,,,,,,source-and-cadence-evidenced,,,,,
defect:silas-rejection-reason,,,,,,,missing-discriminator,defect:silas-rejection-reason,,defect,,,,reply-turn admission,,,,,,localized,,,,,
defect:elliott-materialization-reason,,,,,,,missing-discriminator,defect:elliott-materialization-reason,,defect,,,,prepared provider route materialization,,,,,,localized,,,,,
issue:fork-1254,,,,,,,issue,issue:fork-1254,,governance,,,,,,,,,,,,,,https://github.com/karmaterminal/openclaw/issues/1254,
issue:upstream-118873,,,,,,,issue,issue:upstream-118873,,governance,,,,,,,,,,,,,,https://github.com/openclaw/openclaw/issues/118873,
issue:upstream-119884,,,,,,,issue,issue:upstream-119884,,governance,,,,,,,,,,,,,,https://github.com/openclaw/openclaw/issues/119884,
issue:upstream-122076,,,,,,,issue,issue:upstream-122076,,governance,,,,,,,,,,,,,,https://github.com/openclaw/openclaw/issues/122076,
issue:upstream-114603,,,,,,,issue,issue:upstream-114603,,governance,,,,,,,,,,,,,,https://github.com/openclaw/openclaw/issues/114603,
probe:finalization-reason,,,,,,,proposed-probe,Return and log a closed context rejection reason,,test,,,,,,,,,,,,,,,
probe:rune-outcome,,,,,,,proposed-probe,Retain bounded completion outcome metadata,,test,,,,,,,,,,,,,,,
probe:sqlite-copy,,,,,,,proposed-probe,Immutable copy query-plan and ANALYZE counterfactual,,test,,,,,,,,,,,,,,,
fossil:silas-eight-abandons,,,,RED on 6b09,,,proposed-fossil,fossil:silas-eight-abandons,,test,,,,,,,,,,,,,,,
probe:elliott-route,,,,,,,proposed-probe,Typed route materialization mismatch with redacted route facts,,test,,,,,,,,,,,,,,,
intervention:finalization-result,,,,,,,candidate,intervention:finalization-result,,intervention,,,,,,,,,,not-executed,,,,,
intervention:rune-metadata,,,,,,,candidate,intervention:rune-metadata,,intervention,,,,,,,,,,not-executed,,,,,
intervention:offline-analyze,,,,,,,candidate,intervention:offline-analyze,,intervention,,,,,,,,,,not-executed,,,,,
intervention:abandonment-budget,,,,,,,candidate,intervention:abandonment-budget,,intervention,,,,,,,,,,not-executed,,,,,
intervention:route-result,,,,,,,candidate,intervention:route-result,,intervention,,,,,,,,,,not-executed,,,,,
Function:src/channels/message/ingress-drain.ts:drainOnce,,,,,src/channels/message/ingress-drain.ts,,Function,drainOnce,,code,drainOnce,,,,,,,,gitnexus,,,,,,
Function:src/channels/message/ingress-drain.ts:runClaimed,,,,,src/channels/message/ingress-drain.ts,,Function,runClaimed,,code,runClaimed,,,,,,,,gitnexus,,,,,,
Function:src/channels/message/ingress-drain.ts:createLifecycle,,,,,src/channels/message/ingress-drain.ts,,Function,createLifecycle,,code,createLifecycle,,,,,,,,gitnexus,,,,,,
Function:src/channels/message/ingress-drain.ts:completeClaimWithRetry,,,,,src/channels/message/ingress-drain.ts,,Function,completeClaimWithRetry,,code,completeClaimWithRetry,,,,,,,,gitnexus,,,,,,
Function:src/channels/message/ingress-drain.ts:onAdopted,,,,,src/channels/message/ingress-drain.ts,,Function,onAdopted,,code,onAdopted,,,,,,,,gitnexus,,,,,,
Function:src/channels/message/ingress-drain.ts:onAbandoned,,,,,src/channels/message/ingress-drain.ts,,Function,onAbandoned,,code,onAbandoned,,,,,,,,gitnexus,,,,,,
Function:src/channels/message/ingress-drain.ts:releaseClaim,,,,,src/channels/message/ingress-drain.ts,,Function,releaseClaim,,code,releaseClaim,,,,,,,,gitnexus,,,,,,
Function:src/channels/message/ingress-drain.ts:commitClaimWriteWithRetry,,,,,src/channels/message/ingress-drain.ts,,Function,commitClaimWriteWithRetry,,code,commitClaimWriteWithRetry,,,,,,,,gitnexus,,,,,,
Function:src/channels/message/ingress-retry-policy.ts:sleepIngressRetryDelay,,,,,src/channels/message/ingress-retry-policy.ts,,Function,sleepIngressRetryDelay,,code,sleepIngressRetryDelay,,,,,,,,gitnexus,,,,,,
