file	classification	size_lines	notes
extensions/document-extract/package.json	mechanical	30	plugin package version conflict from first replayed commit
extensions/duckduckgo/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/elevenlabs/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/exa/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/fal/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/feishu/package.json	mechanical	75	plugin package version conflict from first replayed commit
extensions/file-transfer/package.json	mechanical	22	plugin package version conflict from first replayed commit
extensions/firecrawl/package.json	mechanical	22	plugin package version conflict from first replayed commit
extensions/fireworks/package.json	mechanical	22	plugin package version conflict from first replayed commit
extensions/github-copilot/package.json	mechanical	23	plugin package version conflict from first replayed commit
extensions/google-meet/package.json	mechanical	61	plugin package version conflict from first replayed commit
extensions/google/package.json	mechanical	23	plugin package version conflict from first replayed commit
extensions/googlechat/package.json	mechanical	103	plugin package version conflict from first replayed commit
extensions/gradium/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/groq/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/huggingface/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/image-generation-core/package.json	mechanical	14	plugin package version conflict from first replayed commit
extensions/imessage/package.json	mechanical	47	plugin package version conflict from first replayed commit
extensions/inworld/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/irc/package.json	mechanical	45	plugin package version conflict from first replayed commit
extensions/kilocode/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/kimi-coding/package.json	mechanical	22	plugin package version conflict from first replayed commit
extensions/line/package.json	mechanical	73	plugin package version conflict from first replayed commit
extensions/litellm/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/llm-task/package.json	mechanical	23	plugin package version conflict from first replayed commit
extensions/lmstudio/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/lobster/package.json	mechanical	49	plugin package version conflict from first replayed commit
extensions/matrix/CHANGELOG.md	mechanical	237	plugin changelog release-entry conflict from first replayed commit
extensions/matrix/package.json	mechanical	93	plugin package version conflict from first replayed commit
extensions/mattermost/package.json	mechanical	51	plugin package version conflict from first replayed commit
extensions/media-understanding-core/package.json	mechanical	18	plugin package version conflict from first replayed commit
extensions/memory-core/package.json	mechanical	37	plugin package version conflict from first replayed commit
extensions/memory-lancedb/package.json	mechanical	50	plugin package version conflict from first replayed commit
extensions/memory-wiki/package.json	mechanical	36	plugin package version conflict from first replayed commit
extensions/microsoft-foundry/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/microsoft/package.json	mechanical	22	plugin package version conflict from first replayed commit
extensions/migrate-claude/package.json	mechanical	32	plugin package version conflict from first replayed commit
extensions/migrate-hermes/package.json	mechanical	35	plugin package version conflict from first replayed commit
extensions/minimax/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/mistral/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/moonshot/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/msteams/package.json	mechanical	86	plugin package version conflict from first replayed commit
extensions/nextcloud-talk/package.json	mechanical	75	plugin package version conflict from first replayed commit
extensions/nostr/package.json	mechanical	82	plugin package version conflict from first replayed commit
extensions/nvidia/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/ollama/package.json	mechanical	23	plugin package version conflict from first replayed commit
extensions/open-prose/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/openai/package.json	mechanical	23	plugin package version conflict from first replayed commit
extensions/opencode-go/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/opencode/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/openrouter/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/openshell/package.json	mechanical	22	plugin package version conflict from first replayed commit
extensions/perplexity/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/qa-channel/package.json	mechanical	58	plugin package version conflict from first replayed commit
extensions/qa-lab/package.json	mechanical	48	plugin package version conflict from first replayed commit
extensions/qa-matrix/package.json	mechanical	43	plugin package version conflict from first replayed commit
extensions/qianfan/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/qqbot/package.json	mechanical	78	plugin package version conflict from first replayed commit
extensions/qwen/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/runway/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/searxng/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/senseaudio/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/sglang/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/signal/package.json	mechanical	45	plugin package version conflict from first replayed commit
extensions/skill-workshop/package.json	mechanical	22	plugin package version conflict from first replayed commit
extensions/slack/package.json	mechanical	52	plugin package version conflict from first replayed commit
extensions/speech-core/package.json	mechanical	14	plugin package version conflict from first replayed commit
extensions/stepfun/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/synology-chat/package.json	mechanical	57	plugin package version conflict from first replayed commit
extensions/synthetic/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/tavily/package.json	mechanical	22	plugin package version conflict from first replayed commit
extensions/telegram/package.json	mechanical	60	plugin package version conflict from first replayed commit
extensions/tencent/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/tlon/package.json	mechanical	100	plugin package version conflict from first replayed commit
extensions/together/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/tokenjuice/package.json	mechanical	21	plugin package version conflict from first replayed commit
extensions/tts-local-cli/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/twitch/package.json	mechanical	60	plugin package version conflict from first replayed commit
extensions/venice/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/vercel-ai-gateway/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/video-generation-core/package.json	mechanical	14	plugin package version conflict from first replayed commit
extensions/vllm/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/voice-call/package.json	mechanical	62	plugin package version conflict from first replayed commit
extensions/volcengine/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/voyage/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/vydra/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/web-readability/package.json	mechanical	23	plugin package version conflict from first replayed commit
extensions/webhooks/package.json	mechanical	22	plugin package version conflict from first replayed commit
extensions/whatsapp/package.json	mechanical	89	plugin package version conflict from first replayed commit
extensions/xai/package.json	mechanical	24	plugin package version conflict from first replayed commit
extensions/xiaomi/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/zai/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/zalo/package.json	mechanical	74	plugin package version conflict from first replayed commit
extensions/zalouser/package.json	mechanical	81	plugin package version conflict from first replayed commit
package.json	mechanical	1830	root package version/package metadata conflict from first replayed commit
