2026-08-23T08:51:56Z dispatcher-watchdog=start lane=oc-85651-continuation-cure-20260823 cadence=600s request=1200s evidence=1800s intervene=2700s
2026-08-23T10:42:02Z inspect phase=phase-3-repair candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=typecheck-and-owner-tests remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=0s
2026-08-23T10:52:02Z inspect phase=gate-2 candidate=3330ac1c5bfc4a6ada3491251ca0568c11f5ac2c command=restart-gates-after-repair remote=3330ac1c5bfc4a6ada3491251ca0568c11f5ac2c stalled=0s
2026-08-23T11:02:02Z inspect phase=gate-2 candidate=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 command=exact-final-gates-restarting remote=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 stalled=0s
2026-08-23T11:12:03Z inspect phase=gate-2 candidate=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 command=exact-final-gates-restarting remote=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 stalled=0s
2026-08-23T11:22:03Z inspect phase=gate-2 candidate=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 command=exact-final-gates-restarting remote=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 stalled=0s
2026-08-23T11:32:04Z inspect phase=gate-2 candidate=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 command=exact-final-gates-restarting remote=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 stalled=0s
2026-08-23T11:42:04Z inspect phase=gate-2 candidate=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 command=exact-final-gates-restarting remote=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 stalled=0s
2026-08-23T11:52:04Z inspect phase=gate-2 candidate=9c3a225f86d0ec21d4d10b1b69cd273298e128e3 command=third-final-gates-restarting remote=9c3a225f86d0ec21d4d10b1b69cd273298e128e3 stalled=0s
2026-08-23T12:02:05Z inspect phase=gate-2 candidate=9c3a225f86d0ec21d4d10b1b69cd273298e128e3 command=third-final-gates-restarting remote=9c3a225f86d0ec21d4d10b1b69cd273298e128e3 stalled=0s
2026-08-23T12:12:05Z inspect phase=gate-2 candidate=1f15ce92f08f9d93a72a7623b9e8f5b436ef3076 command=baseline-shrink-rerun-exact-gates remote=1f15ce92f08f9d93a72a7623b9e8f5b436ef3076 stalled=0s
2026-08-23T12:22:06Z inspect phase=gate-2 candidate=1f15ce92f08f9d93a72a7623b9e8f5b436ef3076 command=baseline-shrink-rerun-exact-gates remote=1f15ce92f08f9d93a72a7623b9e8f5b436ef3076 stalled=0s
2026-08-23T12:32:06Z inspect phase=gate-2 candidate=27ea47beb47de8a953366575a1bb7e7210a7096f command=fourth-upstream-final-gates remote=27ea47beb47de8a953366575a1bb7e7210a7096f stalled=0s
2026-08-23T12:42:06Z inspect phase=gate-2 candidate=27ea47beb47de8a953366575a1bb7e7210a7096f command=fourth-upstream-final-gates remote=27ea47beb47de8a953366575a1bb7e7210a7096f stalled=0s
2026-08-23T12:52:07Z inspect phase=gate-2 candidate=27ea47beb47de8a953366575a1bb7e7210a7096f command=fourth-upstream-final-gates remote=27ea47beb47de8a953366575a1bb7e7210a7096f stalled=0s
2026-08-23T13:02:07Z inspect phase=gate-2 candidate=27ea47beb47de8a953366575a1bb7e7210a7096f command=fourth-upstream-final-gates remote=27ea47beb47de8a953366575a1bb7e7210a7096f stalled=0s
2026-08-23T13:12:08Z inspect phase=gate-2 candidate=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 command=fifth-upstream-frozen-final-gates remote=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 stalled=0s
2026-08-23T13:22:08Z inspect phase=gate-2 candidate=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 command=fifth-upstream-frozen-final-gates remote=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 stalled=0s
2026-08-23T13:32:08Z inspect phase=gate-2 candidate=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 command=fifth-upstream-frozen-final-gates remote=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 stalled=0s
2026-08-23T13:42:09Z inspect phase=gate-2 candidate=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 command=fifth-upstream-frozen-final-gates remote=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 stalled=0s
2026-08-23T13:52:09Z inspect phase=gate-2 candidate=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 command=fifth-upstream-frozen-final-gates remote=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 stalled=0s
2026-08-23T14:02:10Z inspect phase=gate-2 candidate=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 command=fifth-upstream-frozen-final-gates remote=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 stalled=0s
2026-08-23T14:12:10Z inspect phase=gate-2 candidate=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 command=fifth-upstream-frozen-final-gates remote=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 stalled=0s
2026-08-23T14:22:10Z inspect phase=gate-2 candidate=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 command=fifth-upstream-frozen-final-gates remote=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 stalled=0s
2026-08-23T14:32:11Z inspect phase=gate-2 candidate=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 command=fifth-upstream-frozen-final-gates remote=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 stalled=0s
2026-08-23T14:42:11Z inspect phase=gate-2 candidate=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 command=fifth-upstream-frozen-final-gates remote=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 stalled=0s
2026-08-23T14:52:12Z inspect phase=gate-2 candidate=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 command=fifth-upstream-frozen-final-gates remote=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 stalled=0s
2026-08-23T15:02:12Z dispatcher-watchdog=stop phase=gate-5 candidate=6f8de2e6ed32660f3db17249774c9ccc96fa5c02 command=mandatory-stop-proof-095f5b96e63587c277daccd886b0e958422e86ac
